주문번호,날짜,시간,카테고리,상품명,SKU,수량,단가,합계,결제수단,고객국적
NB-2602-0029,2026-02-01,15:11,커피포,시나몬약과맛 커피포,NM-2000019,1,15900,15900,간편결제,일본
NB-2602-0029,2026-02-01,15:11,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,간편결제,일본
NB-2602-0030,2026-02-01,13:48,커피포,군밤맛 커피포,NM-2000015,2,15900,31800,간편결제,태국
NB-2602-0030,2026-02-01,13:48,커피포,화이트베리모카맛 커피포,NM-2000013,1,15900,15900,간편결제,태국
NB-2602-0030,2026-02-01,13:48,커피포,생일파티바닐라 커피포,NM-2000005,1,15900,15900,간편결제,태국
NB-2602-0031,2026-02-01,15:39,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,카드,대만
NB-2602-0031,2026-02-01,15:39,커피포,말차라떼맛 커피포,NM-2000108,2,15900,31800,카드,대만
NB-2602-0031,2026-02-01,15:39,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,카드,대만
NB-2602-0032,2026-02-01,11:54,커피포,밀크카라멜맛 커피포,NM-2000114,2,15900,31800,카드,중국
NB-2602-0032,2026-02-01,11:54,커피포,오리지널 에어 10T,NM-2000008,1,16500,16500,카드,중국
NB-2602-0033,2026-02-01,15:10,커피포,시나몬약과맛 커피포,NM-2000019,2,15900,31800,카드,일본
NB-2602-0034,2026-02-01,17:07,커피포,오리지널 에어 10T,NM-2000008,1,16500,16500,카드,일본
NB-2602-0034,2026-02-01,17:07,커피포,얼그레이밀크티 커피포,NM-2000016,2,15900,31800,카드,일본
NB-2602-0035,2026-02-01,11:32,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,간편결제,한국
NB-2602-0036,2026-02-01,11:47,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,간편결제,유럽
NB-2602-0036,2026-02-01,11:47,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,3,5500,16500,간편결제,유럽
NB-2602-0037,2026-02-01,10:59,커피포,얼그레이밀크티 커피포,NM-2000016,2,15900,31800,카드,일본
NB-2602-0037,2026-02-01,10:59,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,카드,일본
NB-2602-0038,2026-02-01,13:31,MD상품,북촌 에디션 토트백,NM-4000005,1,22000,22000,간편결제,미국
NB-2602-0038,2026-02-01,13:31,커피포,타로밀크티 커피포,NM-2000018,3,15900,47700,간편결제,미국
NB-2602-0039,2026-02-01,13:41,커피포,얼그레이밀크티 커피포,NM-2000016,3,15900,47700,간편결제,유럽
NB-2602-0039,2026-02-01,13:41,MD상품,키링 포 모양,NM-4000002,2,12000,24000,간편결제,유럽
NB-2602-0040,2026-02-01,15:14,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,카드,한국
NB-2602-0040,2026-02-01,15:14,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,카드,한국
NB-2602-0041,2026-02-01,14:28,스낵,건빵크런치 8개입,NM-3000001,1,6500,6500,카드,한국
NB-2602-0041,2026-02-01,14:28,커피포,얼그레이밀크티 커피포,NM-2000016,1,15900,15900,카드,한국
NB-2602-0042,2026-02-01,11:30,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,카드,일본
NB-2602-0042,2026-02-01,11:30,커피포,민트초코맛 커피포,NM-2000014,1,15900,15900,카드,일본
NB-2602-0043,2026-02-01,12:50,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,카드,일본
NB-2602-0043,2026-02-01,12:50,커피포,볶은쌀 커피포 10T,NM-2000004,3,14500,43500,카드,일본
NB-2602-0043,2026-02-01,12:50,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,카드,일본
NB-2602-0044,2026-02-01,17:55,커피포,민트초코맛 커피포,NM-2000014,1,15900,15900,간편결제,중국
NB-2602-0044,2026-02-01,17:55,MD상품,키링 포 모양,NM-4000002,1,12000,12000,간편결제,중국
NB-2602-0045,2026-02-01,11:48,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,간편결제,한국
NB-2602-0046,2026-02-01,15:09,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,간편결제,대만
NB-2602-0046,2026-02-01,15:09,커피포,오리지널 에어 10T,NM-2000008,3,16500,49500,간편결제,대만
NB-2602-0047,2026-02-01,12:42,커피포,밀크카라멜맛 커피포,NM-2000114,2,15900,31800,카드,일본
NB-2602-0047,2026-02-01,12:42,커피포,시나몬약과맛 커피포,NM-2000019,1,15900,15900,카드,일본
NB-2602-0048,2026-02-01,11:09,커피포,민트초코맛 커피포,NM-2000014,1,15900,15900,카드,한국
NB-2602-0049,2026-02-01,15:13,MD상품,키링 포 모양,NM-4000002,2,12000,24000,간편결제,홍콩
NB-2602-0049,2026-02-01,15:13,MD상품,뉴믹스 에코백,NM-4000004,2,18000,36000,간편결제,홍콩
NB-2602-0050,2026-02-01,13:14,커피포,군밤맛 커피포,NM-2000015,2,15900,31800,현금,미국
NB-2602-0051,2026-02-01,11:41,MD상품,도자기컵,NM-4000003,1,28000,28000,카드,한국
NB-2602-0051,2026-02-01,11:41,스낵,오란다 오리지널,NM-3000003,2,4500,9000,카드,한국
NB-2602-0052,2026-02-01,13:48,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,현금,한국
NB-2602-0052,2026-02-01,13:48,커피포,밀크카라멜맛 커피포,NM-2000114,2,15900,31800,현금,한국
NB-2602-0053,2026-02-01,13:57,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,간편결제,대만
NB-2602-0053,2026-02-01,13:57,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,간편결제,대만
NB-2602-0053,2026-02-01,13:57,스낵,건빵크런치 8개입,NM-3000001,2,6500,13000,간편결제,대만
NB-2602-0054,2026-02-01,11:49,MD상품,키링 포 모양,NM-4000002,1,12000,12000,카드,한국
NB-2602-0054,2026-02-01,11:49,커피포,타로밀크티 커피포,NM-2000018,2,15900,31800,카드,한국
NB-2602-0055,2026-02-01,11:05,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,카드,유럽
NB-2602-0055,2026-02-01,11:05,커피포,민트초코맛 커피포,NM-2000014,2,15900,31800,카드,유럽
NB-2602-0055,2026-02-01,11:05,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,카드,유럽
NB-2602-0055,2026-02-01,11:05,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,카드,유럽
NB-2602-0056,2026-02-01,11:18,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,카드,일본
NB-2602-0057,2026-02-01,13:14,커피포,오리지널 에어 10T,NM-2000008,2,16500,33000,간편결제,일본
NB-2602-0057,2026-02-01,13:14,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,간편결제,일본
NB-2602-0057,2026-02-01,13:14,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,간편결제,일본
NB-2602-0058,2026-02-01,12:08,커피포,군밤맛 커피포,NM-2000015,2,15900,31800,카드,한국
NB-2602-0059,2026-02-01,10:29,커피포,라즈베리말차 커피포,NM-2000017,1,15900,15900,카드,일본
NB-2602-0060,2026-02-01,13:30,커피포,타로밀크티 커피포,NM-2000018,3,15900,47700,간편결제,일본
NB-2602-0060,2026-02-01,13:30,스낵,건빵크런치 8개입,NM-3000001,3,6500,19500,간편결제,일본
NB-2602-0061,2026-02-01,13:28,MD상품,키링 포 모양,NM-4000002,3,12000,36000,카드,일본
NB-2602-0061,2026-02-01,13:28,커피포,얼그레이밀크티 커피포,NM-2000016,1,15900,15900,카드,일본
NB-2602-0061,2026-02-01,13:28,커피포,시나몬약과맛 커피포,NM-2000019,2,15900,31800,카드,일본
NB-2602-0061,2026-02-01,13:28,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,카드,일본
NB-2602-0062,2026-02-01,10:40,MD상품,키링 포 모양,NM-4000002,1,12000,12000,간편결제,한국
NB-2602-0063,2026-02-02,12:16,커피포,밀크카라멜맛 커피포,NM-2000114,2,15900,31800,카드,일본
NB-2602-0063,2026-02-02,12:16,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,1,5500,5500,카드,일본
NB-2602-0064,2026-02-02,10:53,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,카드,일본
NB-2602-0064,2026-02-02,10:53,커피포,얼그레이밀크티 커피포,NM-2000016,2,15900,31800,카드,일본
NB-2602-0064,2026-02-02,10:53,커피포,생일파티바닐라 커피포,NM-2000005,1,15900,15900,카드,일본
NB-2602-0065,2026-02-02,13:15,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,카드,한국
NB-2602-0065,2026-02-02,13:15,MD상품,키링 포 모양,NM-4000002,1,12000,12000,카드,한국
NB-2602-0066,2026-02-02,13:56,MD상품,북촌 에디션 토트백,NM-4000005,1,22000,22000,카드,태국
NB-2602-0066,2026-02-02,13:56,커피포,시나몬약과맛 커피포,NM-2000019,2,15900,31800,카드,태국
NB-2602-0066,2026-02-02,13:56,커피포,군밤맛 커피포,NM-2000015,3,15900,47700,카드,태국
NB-2602-0067,2026-02-02,16:56,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,카드,일본
NB-2602-0067,2026-02-02,16:56,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,카드,일본
NB-2602-0067,2026-02-02,16:56,MD상품,키링 mix man,NM-4000001,3,12000,36000,카드,일본
NB-2602-0067,2026-02-02,16:56,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,카드,일본
NB-2602-0068,2026-02-02,12:47,커피포,시나몬약과맛 커피포,NM-2000019,1,15900,15900,간편결제,유럽
NB-2602-0068,2026-02-02,12:47,커피포,얼그레이밀크티 커피포,NM-2000016,3,15900,47700,간편결제,유럽
NB-2602-0069,2026-02-02,11:15,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,간편결제,일본
NB-2602-0070,2026-02-02,13:42,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,2,5500,11000,간편결제,일본
NB-2602-0070,2026-02-02,13:42,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,간편결제,일본
NB-2602-0071,2026-02-02,16:53,MD상품,북촌 에디션 토트백,NM-4000005,2,22000,44000,카드,일본
NB-2602-0071,2026-02-02,16:53,커피포,군밤맛 커피포,NM-2000015,2,15900,31800,카드,일본
NB-2602-0071,2026-02-02,16:53,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,카드,일본
NB-2602-0071,2026-02-02,16:53,커피포,라즈베리말차 커피포,NM-2000017,3,15900,47700,카드,일본
NB-2602-0072,2026-02-02,12:41,커피포,화이트베리모카맛 커피포,NM-2000013,2,15900,31800,간편결제,태국
NB-2602-0073,2026-02-02,12:18,스낵,건빵크런치 8개입,NM-3000001,1,6500,6500,카드,일본
NB-2602-0073,2026-02-02,12:18,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,카드,일본
NB-2602-0074,2026-02-02,10:19,커피포,오리지널 에어 10T,NM-2000008,3,16500,49500,카드,홍콩
NB-2602-0075,2026-02-02,15:47,스낵,오란다 말차,NM-3000004,3,4500,13500,간편결제,미국
NB-2602-0075,2026-02-02,15:47,커피포,말차라떼맛 커피포,NM-2000108,2,15900,31800,간편결제,미국
NB-2602-0075,2026-02-02,15:47,MD상품,북촌 에디션 토트백,NM-4000005,3,22000,66000,간편결제,미국
NB-2602-0076,2026-02-02,12:17,스낵,건빵크런치 8개입,NM-3000001,2,6500,13000,카드,홍콩
NB-2602-0076,2026-02-02,12:17,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,카드,홍콩
NB-2602-0077,2026-02-02,15:09,커피포,오리지널 에어 10T,NM-2000008,3,16500,49500,간편결제,일본
NB-2602-0077,2026-02-02,15:09,스낵,오란다 말차,NM-3000004,2,4500,9000,간편결제,일본
NB-2602-0077,2026-02-02,15:09,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,간편결제,일본
NB-2602-0078,2026-02-02,13:47,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,카드,미국
NB-2602-0079,2026-02-02,13:28,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,카드,한국
NB-2602-0079,2026-02-02,13:28,스낵,건빵크런치 8개입,NM-3000001,1,6500,6500,카드,한국
NB-2602-0080,2026-02-02,13:59,커피포,오리지널 에어 10T,NM-2000008,2,16500,33000,간편결제,한국
NB-2602-0080,2026-02-02,13:59,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,간편결제,한국
NB-2602-0081,2026-02-02,12:58,커피포,생일파티바닐라 커피포,NM-2000005,1,15900,15900,간편결제,한국
NB-2602-0082,2026-02-02,15:22,커피포,시나몬약과맛 커피포,NM-2000019,1,15900,15900,카드,일본
NB-2602-0082,2026-02-02,15:22,스낵,오란다 말차,NM-3000004,3,4500,13500,카드,일본
NB-2602-0083,2026-02-02,15:44,커피포,군밤맛 커피포,NM-2000015,2,15900,31800,카드,기타
NB-2602-0083,2026-02-02,15:44,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,카드,기타
NB-2602-0083,2026-02-02,15:44,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,카드,기타
NB-2602-0084,2026-02-02,16:43,MD상품,키링 mix man,NM-4000001,2,12000,24000,카드,대만
NB-2602-0084,2026-02-02,16:43,스낵,오란다 오리지널,NM-3000003,1,4500,4500,카드,대만
NB-2602-0084,2026-02-02,16:43,커피포,시나몬약과맛 커피포,NM-2000019,2,15900,31800,카드,대만
NB-2602-0085,2026-02-02,15:01,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,간편결제,일본
NB-2602-0085,2026-02-02,15:01,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,1,5500,5500,간편결제,일본
NB-2602-0085,2026-02-02,15:01,스낵,건빵크런치 8개입,NM-3000001,1,6500,6500,간편결제,일본
NB-2602-0086,2026-02-02,13:04,커피포,볶은쌀 커피포 10T,NM-2000004,3,14500,43500,간편결제,미국
NB-2602-0086,2026-02-02,13:04,스낵,오란다 오리지널,NM-3000003,2,4500,9000,간편결제,미국
NB-2602-0086,2026-02-02,13:04,스낵,오란다 오리지널,NM-3000003,1,4500,4500,간편결제,미국
NB-2602-0087,2026-02-02,13:56,커피포,군밤맛 커피포,NM-2000015,2,15900,31800,간편결제,한국
NB-2602-0088,2026-02-02,15:08,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,카드,태국
NB-2602-0088,2026-02-02,15:08,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,카드,태국
NB-2602-0088,2026-02-02,15:08,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,2,5500,11000,카드,태국
NB-2602-0088,2026-02-02,15:08,커피포,밀크카라멜맛 커피포,NM-2000114,2,15900,31800,카드,태국
NB-2602-0089,2026-02-02,10:26,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,카드,대만
NB-2602-0089,2026-02-02,10:26,스낵,오란다 오리지널,NM-3000003,2,4500,9000,카드,대만
NB-2602-0090,2026-02-02,13:59,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,1,5500,5500,카드,한국
NB-2602-0091,2026-02-02,11:34,커피포,군밤맛 커피포,NM-2000015,3,15900,47700,카드,일본
NB-2602-0091,2026-02-02,11:34,커피포,시나몬약과맛 커피포,NM-2000019,2,15900,31800,카드,일본
NB-2602-0092,2026-02-02,13:09,커피포,타로밀크티 커피포,NM-2000018,1,15900,15900,간편결제,대만
NB-2602-0092,2026-02-02,13:09,스낵,건빵크런치 8개입,NM-3000001,1,6500,6500,간편결제,대만
NB-2602-0093,2026-02-02,14:22,커피포,밀크카라멜맛 커피포,NM-2000114,2,15900,31800,현금,유럽
NB-2602-0093,2026-02-02,14:22,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,현금,유럽
NB-2602-0094,2026-02-02,13:19,MD상품,키링 mix man,NM-4000001,1,12000,12000,카드,일본
NB-2602-0094,2026-02-02,13:19,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,카드,일본
NB-2602-0094,2026-02-02,13:19,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,카드,일본
NB-2602-0095,2026-02-02,15:32,MD상품,북촌 에디션 토트백,NM-4000005,2,22000,44000,카드,일본
NB-2602-0095,2026-02-02,15:32,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,카드,일본
NB-2602-0095,2026-02-02,15:32,커피포,군밤맛 커피포,NM-2000015,3,15900,47700,카드,일본
NB-2602-0096,2026-02-02,11:18,MD상품,키링 mix man,NM-4000001,3,12000,36000,카드,태국
NB-2602-0096,2026-02-02,11:18,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,카드,태국
NB-2602-0097,2026-02-02,11:48,커피포,생일파티바닐라 커피포,NM-2000005,1,15900,15900,카드,한국
NB-2602-0098,2026-02-02,15:14,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,현금,한국
NB-2602-0098,2026-02-02,15:14,커피포,말차라떼맛 커피포,NM-2000108,2,15900,31800,현금,한국
NB-2602-0099,2026-02-02,14:50,스낵,오란다 오리지널,NM-3000003,2,4500,9000,간편결제,대만
NB-2602-0099,2026-02-02,14:50,MD상품,키링 mix man,NM-4000001,1,12000,12000,간편결제,대만
NB-2602-0099,2026-02-02,14:50,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,간편결제,대만
NB-2602-0100,2026-02-02,12:40,커피포,타로밀크티 커피포,NM-2000018,1,15900,15900,간편결제,대만
NB-2602-0100,2026-02-02,12:40,커피포,생일파티바닐라 커피포,NM-2000005,1,15900,15900,간편결제,대만
NB-2602-0101,2026-02-02,11:00,커피포,화이트베리모카맛 커피포,NM-2000013,3,15900,47700,간편결제,일본
NB-2602-0101,2026-02-02,11:00,커피포,생일파티바닐라 커피포,NM-2000005,2,15900,31800,간편결제,일본
NB-2602-0102,2026-02-02,13:17,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,카드,기타
NB-2602-0102,2026-02-02,13:17,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,카드,기타
NB-2602-0103,2026-02-02,13:55,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,간편결제,미국
NB-2602-0104,2026-02-02,16:15,커피포,라즈베리말차 커피포,NM-2000017,2,15900,31800,현금,한국
NB-2602-0104,2026-02-02,16:15,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,현금,한국
NB-2602-0105,2026-02-02,12:12,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,카드,기타
NB-2602-0105,2026-02-02,12:12,MD상품,뉴믹스 에코백,NM-4000004,1,18000,18000,카드,기타
NB-2602-0105,2026-02-02,12:12,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,카드,기타
NB-2602-0106,2026-02-02,17:26,MD상품,키링 포 모양,NM-4000002,1,12000,12000,카드,일본
NB-2602-0106,2026-02-02,17:26,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,카드,일본
NB-2602-0106,2026-02-02,17:26,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,카드,일본
NB-2602-0107,2026-02-02,12:41,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,간편결제,한국
NB-2602-0107,2026-02-02,12:41,커피포,민트초코맛 커피포,NM-2000014,2,15900,31800,간편결제,한국
NB-2602-0108,2026-02-02,13:54,커피포,오리지널 에어 10T,NM-2000008,1,16500,16500,간편결제,일본
NB-2602-0108,2026-02-02,13:54,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,간편결제,일본
NB-2602-0109,2026-02-02,11:00,커피포,시나몬약과맛 커피포,NM-2000019,1,15900,15900,카드,일본
NB-2602-0109,2026-02-02,11:00,MD상품,도자기컵,NM-4000003,1,28000,28000,카드,일본
NB-2602-0110,2026-02-02,13:45,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,간편결제,대만
NB-2602-0111,2026-02-03,11:38,커피포,얼그레이밀크티 커피포,NM-2000016,1,15900,15900,현금,태국
NB-2602-0111,2026-02-03,11:38,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,1,5500,5500,현금,태국
