주문번호,주문일,주문시간,채널,카테고리,상품명,SKU,수량,단가,합계,배송지역,주문상태
NV-260201-00008,2026-02-01,08:14,네이버,커피포,생일파티바닐라 커피포,NM-2000005,1,15900,15900,인천,배송완료
NV-260201-00008,2026-02-01,08:14,네이버,커피포,생일파티바닐라 커피포,NM-2000005,3,15900,47700,인천,배송완료
NV-260201-00009,2026-02-01,14:48,네이버,커피포,오리지널 에어 10T,NM-2000008,3,16500,49500,서울,반품완료
NV-260201-00009,2026-02-01,14:48,네이버,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,서울,반품완료
KL-260201-0010,2026-02-01,09:59,컬리,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,경기,배송완료
KL-260201-0010,2026-02-01,09:59,컬리,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,경기,배송완료
CP-4000000011,2026-02-01,14:25,쿠팡,커피포,밀크카라멜맛 커피포,NM-2000114,3,15900,47700,대구,배송완료
KL-260201-0012,2026-02-01,13:33,컬리,커피포,오리지널 에어 10T,NM-2000008,2,16500,33000,서울,교환완료
KL-260201-0012,2026-02-01,13:33,컬리,커피포,타로밀크티 커피포,NM-2000018,1,15900,15900,서울,교환완료
NV-260201-00013,2026-02-01,17:06,네이버,커피포,얼그레이밀크티 커피포,NM-2000016,1,15900,15900,광주,반품완료
NV-260201-00013,2026-02-01,17:06,네이버,세트,베스트 4종 세트,NM-5000001,2,55000,110000,광주,반품완료
NV-260201-00014,2026-02-01,19:54,네이버,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,서울,배송완료
CP-4000000015,2026-02-01,18:26,쿠팡,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,제주,반품완료
CP-4000000015,2026-02-01,18:26,쿠팡,세트,베스트 4종 세트,NM-5000001,1,55000,55000,제주,반품완료
CP-4000000016,2026-02-01,19:42,쿠팡,세트,베스트 4종 세트,NM-5000001,2,55000,110000,경기,배송완료
CP-4000000016,2026-02-01,19:42,쿠팡,커피포,볶은쌀 커피포 10T,NM-2000004,3,14500,43500,경기,배송완료
CP-4000000016,2026-02-01,19:42,쿠팡,MD상품,키링 포 모양,NM-4000002,2,12000,24000,경기,배송완료
CP-4000000017,2026-02-01,07:09,쿠팡,MD상품,키링 mix man,NM-4000001,1,12000,12000,부산,배송완료
CP-4000000017,2026-02-01,07:09,쿠팡,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,부산,배송완료
29-100018,2026-02-01,23:21,29CM,스낵,건빵크런치 8개입,NM-3000001,1,6500,6500,전북,배송완료
29-100018,2026-02-01,23:21,29CM,MD상품,도자기컵,NM-4000003,1,28000,28000,전북,배송완료
29-100018,2026-02-01,23:21,29CM,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,전북,배송완료
CP-4000000019,2026-02-01,12:01,쿠팡,커피포,타로밀크티 커피포,NM-2000018,3,15900,47700,경기,배송완료
CP-4000000019,2026-02-01,12:01,쿠팡,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,경기,배송완료
KL-260201-0020,2026-02-01,23:11,컬리,커피포,볶은쌀 커피포 10T,NM-2000004,3,14500,43500,경기,배송완료
KL-260201-0020,2026-02-01,23:11,컬리,커피포,얼그레이밀크티 커피포,NM-2000016,2,15900,31800,경기,배송완료
KL-260201-0020,2026-02-01,23:11,컬리,스낵,오란다 오리지널,NM-3000003,1,4500,4500,경기,배송완료
CP-4000000021,2026-02-01,15:02,쿠팡,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,서울,배송완료
CP-4000000021,2026-02-01,15:02,쿠팡,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,서울,배송완료
CP-4000000021,2026-02-01,15:02,쿠팡,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,서울,배송완료
KL-260201-0022,2026-02-01,09:35,컬리,커피포,민트초코맛 커피포,NM-2000014,3,15900,47700,경기,배송완료
KL-260201-0022,2026-02-01,09:35,컬리,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,경기,배송완료
CP-4000000023,2026-02-01,10:59,쿠팡,MD상품,키링 mix man,NM-4000001,1,12000,12000,서울,배송완료
NV-260201-00024,2026-02-01,10:22,네이버,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,광주,교환완료
CP-4000000025,2026-02-02,23:30,쿠팡,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,경기,배송완료
NV-260202-00026,2026-02-02,19:37,네이버,커피포,생일파티바닐라 커피포,NM-2000005,2,15900,31800,서울,배송완료
NV-260202-00026,2026-02-02,19:37,네이버,스낵,건빵크런치 8개입,NM-3000001,1,6500,6500,서울,배송완료
NV-260202-00026,2026-02-02,19:37,네이버,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,서울,배송완료
CP-4000000027,2026-02-02,09:19,쿠팡,세트,베스트 4종 세트,NM-5000001,1,55000,55000,경기,교환완료
CP-4000000028,2026-02-02,13:27,쿠팡,커피포,화이트베리모카맛 커피포,NM-2000013,1,15900,15900,경기,배송완료
CP-4000000028,2026-02-02,13:27,쿠팡,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,경기,배송완료
CP-4000000028,2026-02-02,13:27,쿠팡,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,경기,배송완료
NV-260202-00029,2026-02-02,10:07,네이버,커피포,군밤맛 커피포,NM-2000015,2,15900,31800,충북,배송완료
29-100030,2026-02-02,23:56,29CM,세트,베스트 4종 세트,NM-5000001,1,55000,55000,경기,배송완료
NV-260202-00031,2026-02-02,16:47,네이버,MD상품,키링 mix man,NM-4000001,2,12000,24000,강원,반품완료
NV-260202-00031,2026-02-02,16:47,네이버,MD상품,키링 mix man,NM-4000001,1,12000,12000,강원,반품완료
NV-260202-00031,2026-02-02,16:47,네이버,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,강원,반품완료
NV-260202-00032,2026-02-02,17:00,네이버,세트,베스트 4종 세트,NM-5000001,1,55000,55000,경기,배송완료
CP-4000000033,2026-02-02,21:11,쿠팡,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,대구,배송완료
NV-260202-00034,2026-02-02,17:22,네이버,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,전북,배송완료
NV-260202-00035,2026-02-02,16:53,네이버,MD상품,키링 mix man,NM-4000001,1,12000,12000,인천,배송완료
NV-260202-00035,2026-02-02,16:53,네이버,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,인천,배송완료
NV-260202-00036,2026-02-02,16:55,네이버,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,대구,배송완료
NV-260202-00036,2026-02-02,16:55,네이버,커피포,생일파티바닐라 커피포,NM-2000005,2,15900,31800,대구,배송완료
NV-260202-00037,2026-02-02,23:47,네이버,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,경기,배송완료
NV-260202-00037,2026-02-02,23:47,네이버,세트,베스트 4종 세트,NM-5000001,1,55000,55000,경기,배송완료
KL-260202-0038,2026-02-02,17:28,컬리,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,경기,배송완료
KL-260202-0038,2026-02-02,17:28,컬리,세트,전맛 6종 세트,NM-5000002,1,89000,89000,경기,배송완료
KL-260202-0038,2026-02-02,17:28,컬리,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,경기,배송완료
29-100039,2026-02-02,22:11,29CM,커피포,생일파티바닐라 커피포,NM-2000005,2,15900,31800,부산,배송완료
29-100039,2026-02-02,22:11,29CM,커피포,라즈베리말차 커피포,NM-2000017,1,15900,15900,부산,배송완료
29-100039,2026-02-02,22:11,29CM,커피포,타로밀크티 커피포,NM-2000018,2,15900,31800,부산,배송완료
NV-260202-00040,2026-02-02,14:30,네이버,스낵,건빵크런치 8개입,NM-3000001,1,6500,6500,서울,배송완료
NV-260202-00041,2026-02-02,17:48,네이버,MD상품,키링 mix man,NM-4000001,2,12000,24000,제주,배송완료
NV-260202-00041,2026-02-02,17:48,네이버,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,제주,배송완료
NV-260202-00042,2026-02-02,21:46,네이버,세트,베스트 4종 세트,NM-5000001,2,55000,110000,대전,배송완료
KL-260202-0043,2026-02-02,02:57,컬리,스낵,오란다 오리지널,NM-3000003,1,4500,4500,강원,배송완료
NV-260202-00044,2026-02-02,10:16,네이버,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,서울,배송완료
NV-260202-00044,2026-02-02,10:16,네이버,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,서울,배송완료
KL-260202-0045,2026-02-02,22:34,컬리,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,대전,배송완료
KL-260202-0045,2026-02-02,22:34,컬리,커피포,바나나우유맛 커피포,NM-2000043,3,15900,47700,대전,배송완료
KL-260202-0045,2026-02-02,22:34,컬리,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,대전,배송완료
CP-4000000046,2026-02-02,22:58,쿠팡,MD상품,키링 포 모양,NM-4000002,1,12000,12000,서울,배송완료
CP-4000000046,2026-02-02,22:58,쿠팡,세트,베스트 4종 세트,NM-5000001,2,55000,110000,서울,배송완료
KL-260202-0047,2026-02-02,17:03,컬리,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,경기,배송완료
KL-260202-0047,2026-02-02,17:03,컬리,커피포,화이트베리모카맛 커피포,NM-2000013,1,15900,15900,경기,배송완료
KL-260202-0048,2026-02-02,10:14,컬리,세트,베스트 4종 세트,NM-5000001,1,55000,55000,경기,배송완료
29-100049,2026-02-02,13:50,29CM,커피포,생일파티바닐라 커피포,NM-2000005,1,15900,15900,서울,배송완료
29-100049,2026-02-02,13:50,29CM,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,서울,배송완료
KL-260202-0050,2026-02-02,11:34,컬리,커피포,타로밀크티 커피포,NM-2000018,1,15900,15900,제주,교환완료
NV-260202-00051,2026-02-02,14:25,네이버,세트,전맛 6종 세트,NM-5000002,2,89000,178000,서울,배송완료
NV-260202-00051,2026-02-02,14:25,네이버,세트,전맛 6종 세트,NM-5000002,1,89000,89000,서울,배송완료
NV-260202-00051,2026-02-02,14:25,네이버,커피포,타로밀크티 커피포,NM-2000018,2,15900,31800,서울,배송완료
CP-4000000052,2026-02-02,10:03,쿠팡,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,충남,배송완료
CP-4000000052,2026-02-02,10:03,쿠팡,커피포,말차라떼맛 커피포,NM-2000108,3,15900,47700,충남,배송완료
NV-260202-00053,2026-02-02,06:54,네이버,커피포,말차라떼맛 커피포,NM-2000108,3,15900,47700,대전,배송완료
NV-260202-00053,2026-02-02,06:54,네이버,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,대전,배송완료
NV-260202-00054,2026-02-02,11:18,네이버,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,세종,배송완료
KL-260202-0055,2026-02-02,23:14,컬리,세트,전맛 6종 세트,NM-5000002,2,89000,178000,충북,배송완료
CP-4000000056,2026-02-02,21:00,쿠팡,세트,베스트 4종 세트,NM-5000001,2,55000,110000,경기,배송완료
CP-4000000057,2026-02-02,18:38,쿠팡,세트,전맛 6종 세트,NM-5000002,2,89000,178000,경기,배송완료
KL-260202-0058,2026-02-02,19:01,컬리,세트,베스트 4종 세트,NM-5000001,1,55000,55000,부산,배송완료
KL-260202-0058,2026-02-02,19:01,컬리,세트,베스트 4종 세트,NM-5000001,1,55000,55000,부산,배송완료
KL-260202-0058,2026-02-02,19:01,컬리,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,부산,배송완료
CP-4000000059,2026-02-02,16:10,쿠팡,세트,베스트 4종 세트,NM-5000001,1,55000,55000,경북,반품완료
CP-4000000060,2026-02-02,15:23,쿠팡,MD상품,키링 포 모양,NM-4000002,2,12000,24000,서울,배송완료
CP-4000000061,2026-02-03,19:46,쿠팡,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,충남,배송완료
CP-4000000061,2026-02-03,19:46,쿠팡,세트,베스트 4종 세트,NM-5000001,1,55000,55000,충남,배송완료
KL-260203-0062,2026-02-03,11:00,컬리,스낵,건빵크런치 8개입,NM-3000001,1,6500,6500,경기,배송완료
CP-4000000063,2026-02-03,12:02,쿠팡,커피포,군밤맛 커피포,NM-2000015,2,15900,31800,인천,배송완료
CP-4000000063,2026-02-03,12:02,쿠팡,세트,전맛 6종 세트,NM-5000002,1,89000,89000,인천,배송완료
CP-4000000063,2026-02-03,12:02,쿠팡,세트,선물세트 (3입x4종),NM-5000003,2,32000,64000,인천,배송완료
CP-4000000064,2026-02-03,18:08,쿠팡,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,경기,배송완료
CP-4000000064,2026-02-03,18:08,쿠팡,세트,선물세트 (3입x4종),NM-5000003,2,32000,64000,경기,배송완료
NV-260203-00065,2026-02-03,18:28,네이버,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,경기,교환완료
NV-260203-00066,2026-02-03,20:11,네이버,커피포,얼그레이밀크티 커피포,NM-2000016,2,15900,31800,세종,배송완료
NV-260203-00066,2026-02-03,20:11,네이버,커피포,생일파티바닐라 커피포,NM-2000005,1,15900,15900,세종,배송완료
CP-4000000067,2026-02-03,09:39,쿠팡,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,2,5500,11000,경기,배송완료
NV-260203-00068,2026-02-03,20:01,네이버,커피포,얼그레이밀크티 커피포,NM-2000016,1,15900,15900,서울,배송완료
NV-260203-00068,2026-02-03,20:01,네이버,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,서울,배송완료
NV-260203-00069,2026-02-03,15:51,네이버,세트,베스트 4종 세트,NM-5000001,2,55000,110000,인천,배송완료
NV-260203-00069,2026-02-03,15:51,네이버,세트,베스트 4종 세트,NM-5000001,2,55000,110000,인천,배송완료
NV-260203-00070,2026-02-03,10:11,네이버,커피포,라즈베리말차 커피포,NM-2000017,1,15900,15900,서울,배송완료
NV-260203-00070,2026-02-03,10:11,네이버,커피포,생일파티바닐라 커피포,NM-2000005,1,15900,15900,서울,배송완료
NV-260203-00071,2026-02-03,17:56,네이버,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,경남,배송완료
NV-260203-00071,2026-02-03,17:56,네이버,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,경남,배송완료
NV-260203-00071,2026-02-03,17:56,네이버,커피포,화이트베리모카맛 커피포,NM-2000013,1,15900,15900,경남,배송완료
KL-260203-0072,2026-02-03,14:41,컬리,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,경남,교환완료
KL-260203-0072,2026-02-03,14:41,컬리,MD상품,키링 mix man,NM-4000001,1,12000,12000,경남,교환완료
KL-260203-0073,2026-02-03,18:01,컬리,세트,베스트 4종 세트,NM-5000001,3,55000,165000,강원,배송완료
CP-4000000074,2026-02-03,15:56,쿠팡,세트,베스트 4종 세트,NM-5000001,1,55000,55000,경기,배송완료
CP-4000000074,2026-02-03,15:56,쿠팡,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,경기,배송완료
CP-4000000074,2026-02-03,15:56,쿠팡,세트,선물세트 (3입x4종),NM-5000003,2,32000,64000,경기,배송완료
KL-260203-0075,2026-02-03,16:47,컬리,세트,전맛 6종 세트,NM-5000002,3,89000,267000,부산,배송완료
NV-260203-00076,2026-02-03,07:47,네이버,세트,전맛 6종 세트,NM-5000002,1,89000,89000,서울,배송완료
NV-260203-00076,2026-02-03,07:47,네이버,MD상품,뉴믹스 에코백,NM-4000004,1,18000,18000,서울,배송완료
NV-260203-00077,2026-02-03,16:20,네이버,세트,베스트 4종 세트,NM-5000001,1,55000,55000,경남,배송완료
NV-260203-00077,2026-02-03,16:20,네이버,커피포,타로밀크티 커피포,NM-2000018,1,15900,15900,경남,배송완료
CP-4000000078,2026-02-03,22:12,쿠팡,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,경기,배송완료
KL-260203-0079,2026-02-03,22:33,컬리,스낵,건빵크런치 8개입,NM-3000001,3,6500,19500,부산,배송완료
CP-4000000080,2026-02-03,12:12,쿠팡,세트,전맛 6종 세트,NM-5000002,1,89000,89000,경기,배송완료
NV-260203-00081,2026-02-03,17:56,네이버,MD상품,키링 포 모양,NM-4000002,3,12000,36000,서울,배송완료
CP-4000000082,2026-02-03,10:00,쿠팡,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,인천,배송완료
CP-4000000082,2026-02-03,10:00,쿠팡,스낵,오란다 오리지널,NM-3000003,2,4500,9000,인천,배송완료
CP-4000000082,2026-02-03,10:00,쿠팡,MD상품,뉴믹스 에코백,NM-4000004,1,18000,18000,인천,배송완료
CP-4000000083,2026-02-04,10:19,쿠팡,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,충북,배송완료
CP-4000000083,2026-02-04,10:19,쿠팡,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,충북,배송완료
KL-260204-0084,2026-02-04,14:19,컬리,커피포,밀크카라멜맛 커피포,NM-2000114,2,15900,31800,서울,배송완료
KL-260204-0084,2026-02-04,14:19,컬리,세트,전맛 6종 세트,NM-5000002,1,89000,89000,서울,배송완료
KL-260204-0084,2026-02-04,14:19,컬리,커피포,라즈베리말차 커피포,NM-2000017,2,15900,31800,서울,배송완료
NV-260204-00085,2026-02-04,12:46,네이버,커피포,생일파티바닐라 커피포,NM-2000005,1,15900,15900,인천,배송완료
NV-260204-00085,2026-02-04,12:46,네이버,커피포,얼그레이밀크티 커피포,NM-2000016,1,15900,15900,인천,배송완료
NV-260204-00085,2026-02-04,12:46,네이버,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,인천,배송완료
CP-4000000086,2026-02-04,09:37,쿠팡,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,강원,배송완료
29-100087,2026-02-04,07:12,29CM,커피포,생일파티바닐라 커피포,NM-2000005,1,15900,15900,경기,배송완료
29-100087,2026-02-04,07:12,29CM,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,경기,배송완료
CP-4000000088,2026-02-04,21:58,쿠팡,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,서울,배송완료
CP-4000000088,2026-02-04,21:58,쿠팡,커피포,생일파티바닐라 커피포,NM-2000005,1,15900,15900,서울,배송완료
CP-4000000088,2026-02-04,21:58,쿠팡,커피포,군밤맛 커피포,NM-2000015,2,15900,31800,서울,배송완료
CP-4000000089,2026-02-04,13:30,쿠팡,커피포,생일파티바닐라 커피포,NM-2000005,2,15900,31800,서울,배송완료
CP-4000000089,2026-02-04,13:30,쿠팡,커피포,바나나우유맛 커피포,NM-2000043,3,15900,47700,서울,배송완료
CP-4000000090,2026-02-04,19:03,쿠팡,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,서울,배송완료
CP-4000000090,2026-02-04,19:03,쿠팡,커피포,군밤맛 커피포,NM-2000015,2,15900,31800,서울,배송완료
CP-4000000090,2026-02-04,19:03,쿠팡,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,서울,배송완료
KL-260204-0091,2026-02-04,17:59,컬리,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,부산,반품완료
KL-260204-0091,2026-02-04,17:59,컬리,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,부산,반품완료
KL-260204-0091,2026-02-04,17:59,컬리,커피포,오리지널 에어 10T,NM-2000008,3,16500,49500,부산,반품완료
CP-4000000092,2026-02-04,22:58,쿠팡,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,전북,배송완료
NV-260204-00093,2026-02-04,13:09,네이버,커피포,민트초코맛 커피포,NM-2000014,2,15900,31800,경남,배송완료
NV-260204-00094,2026-02-04,01:37,네이버,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,경기,배송완료
CP-4000000095,2026-02-04,22:44,쿠팡,커피포,타로밀크티 커피포,NM-2000018,2,15900,31800,서울,배송완료
CP-4000000095,2026-02-04,22:44,쿠팡,MD상품,키링 포 모양,NM-4000002,2,12000,24000,서울,배송완료
KL-260204-0096,2026-02-04,14:55,컬리,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,경기,배송완료
CP-4000000097,2026-02-04,06:16,쿠팡,커피포,밀크카라멜맛 커피포,NM-2000114,2,15900,31800,경기,배송완료
CP-4000000097,2026-02-04,06:16,쿠팡,커피포,민트초코맛 커피포,NM-2000014,1,15900,15900,경기,배송완료
CP-4000000097,2026-02-04,06:16,쿠팡,커피포,말차라떼맛 커피포,NM-2000108,2,15900,31800,경기,배송완료
NV-260204-00098,2026-02-04,23:24,네이버,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,서울,배송완료
KL-260204-0099,2026-02-04,12:16,컬리,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,부산,배송완료
KL-260204-0099,2026-02-04,12:16,컬리,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,2,5500,11000,부산,배송완료
CP-4000000100,2026-02-04,23:17,쿠팡,커피포,말차라떼맛 커피포,NM-2000108,2,15900,31800,서울,배송완료
CP-4000000100,2026-02-04,23:17,쿠팡,커피포,볶은쌀 커피포 10T,NM-2000004,3,14500,43500,서울,배송완료
CP-4000000100,2026-02-04,23:17,쿠팡,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,서울,배송완료
CP-4000000101,2026-02-04,17:31,쿠팡,커피포,화이트베리모카맛 커피포,NM-2000013,1,15900,15900,충남,배송완료
CP-4000000101,2026-02-04,17:31,쿠팡,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,충남,배송완료
NV-260204-00102,2026-02-04,12:57,네이버,커피포,오리지널 에어 10T,NM-2000008,1,16500,16500,대구,배송완료
NV-260204-00102,2026-02-04,12:57,네이버,커피포,타로밀크티 커피포,NM-2000018,1,15900,15900,대구,배송완료
CP-4000000103,2026-02-04,18:10,쿠팡,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,경기,교환완료
CP-4000000103,2026-02-04,18:10,쿠팡,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,경기,교환완료
CP-4000000103,2026-02-04,18:10,쿠팡,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,경기,교환완료
NV-260204-00104,2026-02-04,21:28,네이버,스낵,오란다 오리지널,NM-3000003,2,4500,9000,인천,배송완료
NV-260204-00104,2026-02-04,21:28,네이버,MD상품,키링 포 모양,NM-4000002,1,12000,12000,인천,배송완료
29-100105,2026-02-04,22:20,29CM,커피포,얼그레이밀크티 커피포,NM-2000016,1,15900,15900,경기,배송완료
CP-4000000106,2026-02-04,22:02,쿠팡,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,서울,배송완료
CP-4000000106,2026-02-04,22:02,쿠팡,스낵,오란다 오리지널,NM-3000003,2,4500,9000,서울,배송완료
NV-260204-00107,2026-02-04,17:49,네이버,스낵,오란다 오리지널,NM-3000003,2,4500,9000,서울,배송완료
NV-260204-00107,2026-02-04,17:49,네이버,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,서울,배송완료
29-100108,2026-02-04,23:42,29CM,커피포,밀크카라멜맛 커피포,NM-2000114,3,15900,47700,서울,배송완료
29-100108,2026-02-04,23:42,29CM,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,서울,배송완료
KL-260205-0109,2026-02-05,18:36,컬리,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,서울,배송완료
KL-260205-0109,2026-02-05,18:36,컬리,세트,베스트 4종 세트,NM-5000001,2,55000,110000,서울,배송완료
CP-4000000110,2026-02-05,19:49,쿠팡,세트,전맛 6종 세트,NM-5000002,2,89000,178000,경기,배송완료
CP-4000000110,2026-02-05,19:49,쿠팡,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,경기,배송완료
CP-4000000110,2026-02-05,19:49,쿠팡,스낵,건빵크런치 8개입,NM-3000001,1,6500,6500,경기,배송완료
NV-260205-00111,2026-02-05,23:30,네이버,세트,베스트 4종 세트,NM-5000001,1,55000,55000,부산,반품완료
KL-260205-0112,2026-02-05,19:50,컬리,커피포,군밤맛 커피포,NM-2000015,3,15900,47700,서울,교환완료
KL-260205-0112,2026-02-05,19:50,컬리,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,서울,교환완료
KL-260205-0113,2026-02-05,12:30,컬리,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,충북,배송완료
NV-260205-00114,2026-02-05,09:07,네이버,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,경기,배송완료
NV-260205-00114,2026-02-05,09:07,네이버,세트,전맛 6종 세트,NM-5000002,1,89000,89000,경기,배송완료
NV-260205-00114,2026-02-05,09:07,네이버,커피포,말차라떼맛 커피포,NM-2000108,2,15900,31800,경기,배송완료
NV-260205-00115,2026-02-05,16:51,네이버,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,경기,배송완료
NV-260205-00115,2026-02-05,16:51,네이버,세트,베스트 4종 세트,NM-5000001,1,55000,55000,경기,배송완료
NV-260205-00115,2026-02-05,16:51,네이버,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,경기,배송완료
CP-4000000116,2026-02-05,21:37,쿠팡,커피포,얼그레이밀크티 커피포,NM-2000016,1,15900,15900,전남,배송완료
CP-4000000116,2026-02-05,21:37,쿠팡,커피포,볶은쌀 커피포 10T,NM-2000004,3,14500,43500,전남,배송완료
NV-260205-00117,2026-02-05,22:54,네이버,커피포,생일파티바닐라 커피포,NM-2000005,1,15900,15900,경기,배송완료
CP-4000000118,2026-02-05,20:14,쿠팡,MD상품,도자기컵,NM-4000003,1,28000,28000,대전,배송완료
